mass,width,length_cm,wavelength,bounciness,recoil,condensation,distance,target,location_Belgium,location_China,location_France,location_Germany,location_India,location_Italy,location_Japan,location_Russia,location_South Korea,location_United Kingdom,location_United States,surface_bumpy,surface_flat,surface_matte,surface_shiny,surface_spiky
394,188,68,602,75.02,46.39,51.91,48.35,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
413,146,172,839,2.45,69.44,30.2,39.78,widget7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
213,133,123,537,27.56,74.77,33.9,58.31,widget7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
338,116,144,809,32.72,59.27,71.13,46.82,widget6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
381,103,150,718,64.07,36.08,66.98,30.56,widget4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
494,191,103,588,61.91,34.09,57.46,43.52,widget2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
341,176,114,769,57.48,71.21,44.97,39.21,widget3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
389,183,103,687,70.89,28.45,57.54,37.07,widget2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
327,142,94,498,45.87,28.3,64.78,30.35,widget5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
347,149,147,550,24.76,44.57,28.96,55.33,widget1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
446,208,109,477,60.25,46.05,66.11,29.16,widget2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
172,130,104,418,58.29,27.95,78.17,32.29,widget5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
414,169,114,608,63.04,51.8,68.38,24.58,widget2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
449,180,111,597,74.25,62.79,45.32,46.21,widget2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
202,147,68,381,39.75,33.75,67.67,27.83,widget5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
253,141,87,358,53.37,38.45,77.42,29.38,widget5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
296,137,138,505,55.44,51.72,41.92,45.3,widget6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
456,160,89,408,49.8,32.84,55.87,20.7,widget5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
586,151,96,573,53.76,34.2,72.36,34.42,widget2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
316,113,144,639,63.56,47.19,49.32,49.63,widget6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
120,159,79,660,38.52,46.5,66.16,17.89,widget5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
456,108,155,571,48.42,39.2,23.17,51.48,widget1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
501,111,137,486,20.85,39.19,48,44.62,widget1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
273,139,117,527,41.96,46.52,39.68,45.44,widget6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
603,154,91,735,56.95,57.47,45.16,43.83,widget3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
368,173,89,652,56.33,40.99,37.85,44.96,widget3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
